title,description,startDateTime,endDateTime,price,location,latitude,longitude
Fiesta Factory,Ven a conocer a los mejores artistas,2024-03-23 15:00:00,2024-03-27 22:00:00,275000,Bogotá,40.712776,-74.005974
Fiesta de Primavera,Celebra el inicio de la primavera con música y flores,2024-04-05 16:00:00,2024-04-06 23:59:00,150000,Bogotá,4.710989,-74.072092
Noche de Estrellas,Observación astronómica y charlas con expertos,2024-04-15 20:00:00,2024-04-16 1:00:00,50000,Bogotá,4.710989,-74.072092
Maratón de Cine,Disfruta de un fin de semana lleno de películas premiadas,2024-05-20 10:00:00,2024-05-21 22:00:00,80000,Bogotá,4.710989,-74.072092
Festival Gastronómico,Saborea los platos más exquisitos de la cocina local e internacional,2024-06-12 11:00:00,2024-06-15 20:00:00,120000,Bogotá,4.710989,-74.072092
Concierto Sinfónico,Una noche inolvidable con la mejor música clásica,2024-07-03 19:00:00,2024-07-03 22:00:00,200000,Bogotá,4.710989,-74.072092
Expo Tecnología,Descubre las últimas innovaciones y tendencias tecnológicas,2024-08-09 9:00:00,2024-08-12 18:00:00,100000,Bogotá,4.710989,-74.072092
Carrera 10K,Únete a la carrera más emocionante y promueve un estilo de vida saludable,2024-09-05 7:00:00,2024-09-05 10:00:00,70000,Bogotá,4.710989,-74.072092
Feria del Libro,Un espacio para los amantes de la lectura con autores invitados,2024-10-18 10:00:00,2024-10-28 19:00:00,50000,Bogotá,4.710989,-74.072092
Semana de la Moda,Las últimas tendencias de la moda presentadas por diseñadores reconocidos,2024-11-15 18:00:00,2024-11-20 21:00:00,250000,Bogotá,4.710989,-74.072092
Concurso de Bandas,Bandas emergentes compiten por ser la mejor del festival,2024-12-05 15:00:00,2024-12-05 23:00:00,90000,Bogotá,4.710989,-74.072092